院校名称,院校ID
湖南工程学院应用技术学院,2202
湖南中医药大学湘杏学院,1333
衡阳师范学院南岳学院,1801
仲恺农业工程学院,387
电子科技大学中山学院,1242
东莞城市学院,4182
湛江科技学院,4183
新疆理工学院,4184
新疆科技学院,4185
新疆第二医学院,2464
成都大学,952
成都理工大学工程技术学院,572
四川传媒学院,1245
成都银杏酒店管理学院,4186
成都文理学院,519
成都外国语学院,4266
成都锦城学院,4187
绵阳城市学院,4188
四川文化艺术学院,1794
四川大学锦江学院,859
西南财经大学天府学院,877
西南交通大学希望学院,987
泰山科技学院,4189
青岛工学院,525
青岛农业大学海都学院,1827
齐鲁理工学院,78
潍坊理工学院,1895
聊城大学东昌学院,2128
保山学院,907
文山学院,246
云南大学滇池学院,549
丽江文化旅游学院,4190
云南艺术学院文华学院,1356
昆明理工大学津桥学院,1571
哈尔滨远东理工学院,1992
哈尔滨华德学院,2466
黑龙江工商学院,101
哈尔滨剑桥学院,1398
哈尔滨广厦学院,2191
哈尔滨石油学院,1769
黑龙江工程学院昆仑旅游学院,2815
黑龙江财经学院,919
南京理工大学紫金学院,523
南京航空航天大学金城学院,1029
南京传媒学院,4191
南京工业大学浦江学院,94
南京师范大学中北学院,917
南京医科大学康达学院,286
苏州城市学院,4192
苏州大学应用技术学院,1112
苏州科技大学天平学院,776
扬州大学广陵学院,1485
江苏师范大学科文学院,106
南京邮电大学通达学院,914
江苏科技大学苏州理工学院,818
南通大学杏林学院,699
西安交通大学城市学院,551
西安工商学院,4193
西安明德理工学院,4194
西安科技大学高新学院,320
西安理工大学高科学院,98
兴义民族师范学院,247
遵义医科大学医学与科技学院,2695
贵州中医药大学时珍学院,2821
贵州黔南经济学院,4195
贵阳人文科技学院,4196
贵州医科大学神奇民族医药学院,2540
宁夏大学新华学院,2224
香港教育大学,1274
衢州学院,949
福建江夏学院,598
齐鲁师范学院,1017
山东青年政治学院,641
山东女子学院,1008
广东第二师范学院,535
北京第二外国语学院,752
银川科技学院,4197
内蒙古科技大学包头医学院,1336
内蒙古科技大学包头师范学院,1767
香港岭南大学,2589
空军勤务学院,4267
中国人民解放军海军大连舰艇学院,1120
海军工程大学,4268
空军航空大学,4269
解放军电子工程学院,1949
香港浸会大学,2458
南宁理工学院,4198
新疆政法学院,2406
长安大学兴华学院,1634
浙江外国语学院,588
天津外国语大学滨海外事学院,986
澳门科技大学,2724
澳门大学,1661
澳门旅游学院,2039
首都师范大学继续教育学院,4199
陕西学前师范学院,905
华北理工大学轻工学院,1696
广西外国语学院,2332
广东科技学院,99
郑州升达经贸管理学院,77
山东协和学院,2118
福州外语外贸学院,2309
安徽外国语学院,2004
山西工商学院,2690
河北科技学院,2371
商丘学院,1743
南昌工学院,1763
青岛电影学院,4200
陕西服装工程学院,1918
华北理工大学冀唐学院,1414
河北环境工程学院,2788
山西传媒学院,1983
成都师范学院,904
江西服装学院,2445
南昌师范学院,255
张家口学院,1011
四川电影电视学院,2512
